singer,title,lyric,genre
김광석,이등병의 편지,"집 떠나와 열차 타고
훈련소로 가는 날
부모님께 큰절 하고
대문 밖을 나설 때
가슴속엔 무엇인가 아쉬움이 남지만
풀 한 포기 친구 얼굴
모든 것이 새롭다
이제 다시 시작이다
젊은 날의 생이여
친구들아 군대 가면 편지 꼭 해다오
그대들과 즐거웠던 날들을 잊지 않게
열차시간 다가올 때
두 손 잡던 뜨거움
기적소리 멀어지면 작아지는 모습들
이제 다시 시작이다
젊은 날의 꿈이여
짧게 잘린 내 머리가
처음에는 우습다가
거울 속에 비친 내 모습이
굳어진다 마음까지
뒷동산에 올라서면
우리 마을 보일런지
나팔소리 고요하게 밤하늘에 퍼지면
이등병의 편지 한 장
고이 접어 보내오
이제 다시 시작이다
젊은 날의 꿈이여",포크
조장혁,중독된 사랑,"다시 너를 볼 수 있을까

이렇게 너의 집까지 오고만 거야

넌 나를 떠나도 매일 널

바래다 준 습관 눈물로 남아서

소리없이 끊는 전화에



몸서리치게 네 모습 더욱 그리워

너의 그 따뜻한 목소리

이젠 더 이상은 내 것이 아닌데

잊었니 너와 나 사랑했던 날 모두

이젠 너의 기억 저멀리 잠든 추억인 거니

아직도 널 잊지 못해 견딜 수 없어

눈물로 하루를 삼키는 내게

제발 다시 돌아올 수 없겠니

너 없는 세상 어디에서도

숨쉴수 없는 날 위해

들어줄 넌 곁에 없지만

가만히 너의 이름을 혼자 불러봐

어쩌면 예전에 그랬던

내가 대답해 줄까 하는 미련에

잊었니 너와 나 사랑했던 날 모두

이젠 너의 기억 저멀리 잠든 추억인 거니

아직도 널 잊지 못해 견딜 수 없어

눈물로 하루를 삼키는 내게

제발 다시 돌아올 수 없겠니

너 없는 세상 어디에서도

숨쉴수 없는 날 위해

날 위해 날위해 날위해 돌아와",발라드
이수영,I Believe,"그대 그 약속을 기억하고 있을까요

I believe I believe I believe

많이 변했을 내 모습을 알아볼까요

and I believe I believe I believe

니가 전학간 날 너의 빈 책상위에

새겨져 있던 그 말을 난 기억해요

오늘이 바로 그대 약속한 그 날인걸요

오지 못할 거란 걸 알고있어

앞으로도 영원히 볼 수 없다는 것을

이젠 이 세상에 너란 사람은 없는거니

내가 잘못 안 것이길 빌고 있어

우리 약속한 이 곳에서

처음부터 운명이란 걸 난 느꼈어요

I believe I believe I believe

친근한 말 한 마디조차 한 적 없지만

and I believe I believe I believe

슬픈 그대 얼굴 이유를 알았을 때

애써 담담한 표정만 짓고 있었죠

연락하기로 해 웃으며 말하던 너는 어디있니

오지 못할 거란 걸 알고있어

앞으로도 영원히 볼 수 없다는 것을

이젠 이 세상에 너란 사람은 없는거니

내가 잘못 안 것이길 빌고있어

우리 약속한 이 곳에서",발라드
소찬휘,Tears,"아무 일도 내겐 없는 거야
처음부터 우린 모른 거야
워 넌 그렇게
날 보내 줄 수는 없겠니
이제라도 나를 잊어야해
그런 모습 쉽진 않겠지만
아직 날 기다리는
너를 알아 마음이 아파
차라리 나를 미워해
이제 그만 내게 미련 보이지마
두번 다시 넌 나를 찾지마
나로 인해 아파할 테니까
잔인한 여자라 나를 욕하지마
잠시 너를 위해 이별을 택한거야
잊지는마 내 사랑을
너는 내 안에 있어
길진 않을 거야
슬픔이 가기까지 영원히
차라리 나를 미워해
이제 그만 내게 미련 보이지마
두번 다시 넌 나를 찾지마
나로 인해 아파할 테니까
가져가 내게서 눈먼 너의 사랑을
모든 게 집착인걸
너도 알고 있잖아
지독했던 사랑 따윈 모두 지워버려줘
길진 않을 거야
마지막 순간까지 사랑해",댄스
조성모,가시나무,"내 속엔 내가 너무도 많아
당신의 쉴곳 없네
내 속엔 헛된 바램들로
당신의 편할곳 없네
내 속엔 내가 어쩔수 없는 어둠
당신의 쉴 자리를 뺏고
내 속엔 내가 이길수 없는 슬픔
무성한 가시나무 숲같네
바람만 불면 그 메마른 가지
서로 부대끼며 울어대고
쉴곳을 찾아 지쳐 날아온
어린 새들도 가시에 찔려 날아가고
바람만 불면 외롭고 또 괴로워
슬픈 노래를 부르던 날이 많았는데
내 속엔 내가 너무도 많아서
당신의 쉴곳 없네

바람만 불면 그 매마른 가지
서로 부대끼며 울어대고
쉴곳을 찾아 지쳐날아온
어린 새들도 가시에 찔려 날아가고
바람만 불면 외롭고
또 괴로워
슬픈 노래를 부르던
날이 많았는데
내 속엔 내가 너무도 많아서
당신의 쉴곳 없네",발라드
양파,다 알아요,"다 알아요 모두 다 알아요
나를 떠나야 했었다는걸
너무 많은 것을 바라는 날 감당할 수 없어
이내 지쳐가는 그대를 모른 건 아니었어요
나 다른 건 없어요 꼭 한번만 보고 싶어요
그대 얼굴 예전처럼 밝은지
하지만 떠나간 그대의 그 미안함 덜어주려면
그대를 잊는게 더 옳은 거겠죠 다 알아요
알잖아요 이건 알잖아요
그럴 수 밖에 없었다는 걸
너무 초라하게 기억될 날 보여줄 수 없어
끝내 잡지 않은 내 맘을 모른건 아니잖아요
나 다른 건 없어요꼭 하나만 묻고 싶어요
그대 맘이 예전보다 나은건지
하지만 떠나간 그대의 그 미안함 덜어주려면
그대를 잊는게 더 옳은 거겠죠 다 알아요
다시 한번 생각해요 우리의 약속
많이 힘들어도 헤어짐은 없기로 했던 걸
그대 곁에 있고 싶은 욕심이라 해도
한곳만 바라볼 거예요 뒷모습만이라도
또 다른 건 몰라도 꼭 하나만 기억해줘요
이런 사랑 다시 오지는 않겠죠
그리고 우리 헤어짐은 긴 행복을 위한거겠죠
이런 내 믿음이 틀리진 않겠죠 난 믿어요
이런 식으로 끝나진 않겠죠 다 알아요",발라드
유승준,연가,"처음 보았을때
난 벌써 시작되었지
우리 만났다는 그 이유 단 하나만으로

새로운 날이 찾아온거야
모든것이 내겐 이렇게 아름다워

모든것이 너와 함께야
오 이렇게 영원히 oh baby

소년의 얼굴로 노래하리
세상 가장 맑은 목소리로
내 마음 가득히 커져만 가는
너에게 사랑노래

소녀를 위해서 난 노래하리
세상 가장 행복한 목소리로
가슴 가득 나의 너를 위해

그저 지내왔던 어제
이제는 매일 새로워
서로 소중함에
슬픔은 나에게서 멀어져

새로운 날이 찾아온거야
모든것이 내겐 이렇게 아름다워

모든것이 너와 함께야
오 이렇게 영원히 oh baby

소년의 얼굴로 노래하리
세상 가장 맑은 목소리로
내 마음 가득히 커져만 가는
너에게 사랑노래

소녀를 위해서 난 노래하리
세상 가장 행복한 목소리로
가슴 가득 나의 너를 위해

아주 오랫동안 까맣게 잠들어 있던 내게
새빛으로 깨어나 숨쉬게 해준 너에게

소년의 얼굴로 노래하리
세상 가장 맑은 목소리로
내 마음 가득히 커져만 가는
너에게 사랑노래

소녀를 위해서 난 노래하리
세상 가장 행복한 목소리로
가슴 가득 나의 너를 위해",댄스
조성모,아시나요,"아시나요 얼마나 사랑했는지
그댈 보면 자꾸 눈물이 나서
차마 그대 바라보지 못하고
외면해야 했던 나였음을
아시나요 얼마나 기다렸는지
그대 오가는 그 길목에 숨어
저만치가는 뒷모습이라도
마음껏 보려고 한참을 서성인
나였음을
왜 그런 얘기 못했냐고 물으신다면
가슴이 아파 아무 대답도 못하잖아요
그저 아무것도 그댄 모른채
지금처럼만 기억하면 돼요
우릴 그리고 나
아시나요 얼마나 힘겨웠는지
하고 싶은 말이 너무 많아서
듣지 못하는 병이라도 들면
그땐 말해 볼 수 있을까요
모르셨죠 이렇게 아픈 내 마음
끝내 모르셔도 난 괜찮아요
그댈 향한 그리움의 힘으로
살아왔던거죠
그대가 없으면 나도 없죠
몇 번을 다시 태어나고 다시 떠나도
그댈 만났던 이 세상 만한 곳은 없겠죠
여기 이 세상이 아름다운 건
그대가 머문 흔적들 때문에 아마
슬픈 오늘이
같은 하늘 아래 그대와 내가
함께 서 있는 마지막 날인걸
그댄 아시나요",발라드
박혜경,주문을 걸어,"나나나 나나나 나나나나나나
나나나 나나나 나나나나나나
나나나 나나나 나나나나나나
나나나 나나나 나나나나나나
파란 바람이 불어 괜히 설레이던 날
하얗게 빛나던 너를 보게 됐어
오 오오오오
스쳐지나 갔지만
스쳐지나 갔지만
까만 너의 눈속에
까만 너의 눈속에
너를 바라보는 내 모습이 있어
오 오오오오오
and I'll be seeing you
꼭 보게 될거야
내게 주문을 걸었으니
오 그렇게 난 그렇게 널 만날거야
I'll be seeing you
오오오 오오오 찾게 될거야
너는 마법에 빠진거야
오 그렇게 꼭 그렇게 널 찾을거야
나나나 나나나 나나나나나나
나나나 나나나 나나나나나나
매일 너의 꿈속에 나를 보게 될거야
놀라지는 말아 우연이 아니야
오 오오오오
한순간이었지만
한순간이었지만
너의 마음 가득히
너의 마음 가득히
까만 눈에 비친 내모습이 있어
오 오오오오오
and I'll be seeing you
seeing you seeing you
보게 될거야
내게 주문을 걸었으니
오 그렇게 난 그렇게 널 만날거야
I'll be seeing you
오오오 오오오 찾게될거야
너는 마법에 빠진거야
오 그렇게 꼭 그렇게 널 찾을거야
오 오오오 오오오
I'll be seeing you
seeing you seeing you
널 찾게 될거야
너는 마법에 빠진거야
오 그렇게 꼭 그렇게 널 찾을거야",락
홍경민,흔들린 우정,"아냐 이게 아닌데 왜 난 자꾸만
친구의 여자가 좋을까
이러면 안되지 하면서 왜
내맘속엔 온통 그녀 생각뿐일까
친구 몰래 걸려온 그녀의
전화가 난 왜 이리도 설레일까
냉정하게 거절하면 되는데 왜
난 그녀를 거절하지 못할까
정말 난 미치겠어 나도
나를 잘 모르겠어
오랜 친구와의 우정을 외면한 채
여자 땜에 흔들리는 게
너무나 괴로워 나만 포기하면 되는데
왜 난 고민할 가치도 없는 일을
이렇게 고민하고 있는지
미안해 내 친구야
잠시 너를 기만했던걸
지금까지 너에 대한 내 우정이
아직도 좀 모자란가봐
이해해줘 내 친구야 잠시 흔들렸던 우정을
누군가가 너와 나의 친구사일
질투해 시험했던거라
그렇게 생각해줘

뭐야 정말 이게 뭐야 왜 하필
난 친구의 여자가 좋을까
이러면 안되는줄 알면서 왜
항상 난 그녀에게 끌리는 걸까
친구와 그녀가 다퉜다는 얘길 듣고
왜 내가 웃는 걸까
말도 안돼는 상상을 하며 헛된 기댈
왜 난 자꾸하는것일까
정말 난 모르겠어 이런 내자신이 싫었어
내 욕심만 채우려 우정을
잠시 망각했던 내 자신이 싫었어
너무나 괴로워 마치 죄를 짓는 것 같아
이젠 모든걸다 잊고
난 친구 곁으로 돌아가야 하겠어
미안해 내 친구야
잠시 너를 기만했던걸
지금까지 너에 대한 내 우정이
아직도 좀 모자란가봐
이해해줘 내 친구야 잠시 흔들렸던 우정을
누군가가 너와 나의 친구사일
질투해 시험했던거라
그렇게 생각해줘",댄스
