singer,title,lyric
김광석,이등병의 편지,"집 떠나와 열차 타고
훈련소로 가는 날
부모님께 큰절 하고
대문 밖을 나설 때
가슴속엔 무엇인가 아쉬움이 남지만
풀 한 포기 친구 얼굴
모든 것이 새롭다
이제 다시 시작이다
젊은 날의 생이여
친구들아 군대 가면 편지 꼭 해다오
그대들과 즐거웠던 날들을 잊지 않게
열차시간 다가올 때
두 손 잡던 뜨거움
기적소리 멀어지면 작아지는 모습들
이제 다시 시작이다
젊은 날의 꿈이여
짧게 잘린 내 머리가
처음에는 우습다가
거울 속에 비친 내 모습이
굳어진다 마음까지
뒷동산에 올라서면
우리 마을 보일런지
나팔소리 고요하게 밤하늘에 퍼지면
이등병의 편지 한 장
고이 접어 보내오
이제 다시 시작이다
젊은 날의 꿈이여"
조장혁,중독된 사랑,"다시 너를 볼 수 있을까

이렇게 너의 집까지 오고만 거야

넌 나를 떠나도 매일 널

바래다 준 습관 눈물로 남아서

소리없이 끊는 전화에



몸서리치게 네 모습 더욱 그리워

너의 그 따뜻한 목소리

이젠 더 이상은 내 것이 아닌데

잊었니 너와 나 사랑했던 날 모두

이젠 너의 기억 저멀리 잠든 추억인 거니

아직도 널 잊지 못해 견딜 수 없어

눈물로 하루를 삼키는 내게

제발 다시 돌아올 수 없겠니

너 없는 세상 어디에서도

숨쉴수 없는 날 위해

들어줄 넌 곁에 없지만

가만히 너의 이름을 혼자 불러봐

어쩌면 예전에 그랬던

내가 대답해 줄까 하는 미련에

잊었니 너와 나 사랑했던 날 모두

이젠 너의 기억 저멀리 잠든 추억인 거니

아직도 널 잊지 못해 견딜 수 없어

눈물로 하루를 삼키는 내게

제발 다시 돌아올 수 없겠니

너 없는 세상 어디에서도

숨쉴수 없는 날 위해

날 위해 날위해 날위해 돌아와"
터보,Cyber Lover,"I met a girl inside
I fell in love inside
I wanna be her lover
I wanna love forever
cyber lover
you cyber lover
cyber lover
그녀의 말투에
나는 빠졌어 그랬어
지난 사랑 얘기에
나도 모를 질투 아직
한번도 만나지 못했지 만
하지만 우리끼리통하는
여긴 cyber world
오늘 아침 니가 보내온
향기 가득한 메일이
나의 하루를 행복하게
만들어 주겠지
어떤 모습
어떤 눈빛일까
너무 보고 싶지만
왠지 난 이대로가
그냥 좋은걸
속상했던 일이 생겨도
또 마음이
서글퍼질때도
너와의 얘기속에
어느샌가 사라져
왜 내 마음이
설랠까
한번도 만나지
않았는데
어떻게 내게 이런 느낌
생길수가 있을까
널
사랑하는지 몰라
세상에 지쳐있는
내 눈빛보다
가슴부터 차오르는
느낌 사랑이 아닐까 oh
cyber lover
you cyber lover
cyber lover
니가 너무 보고 싶어
너에게 어울리는
선물도 하고 싶어
비록 얼굴도
이름도 모르지만
니속에 모든걸
알고 싶어
널 보면 실망하고
허무하고 슬퍼질지도
I don't know
하지만 넌 이미
이세상 최고의
나만의 cyber lover
오늘은 널 볼수 없었어
종일 널 찾아 다녔지
이런적 없던 너였기에
당황도 되었지
혹시 무슨일이 있는건지
왠지 걱정도 됐고
이렇게 변한 네게
화도 났었어
언제라도
내가 찾으면
늘 그곳에
있어주었던 너
그래서 바보처럼
가끔씩은 잊혀져
늘 함께 있을
사랑을
체온이 느껴지는
사랑을
나보다 더 큰
행복으로
지켜주는 사랑을
널 만날수는 없겠지
이대로 추억속에
남게 될지도
그렇지만 변함없을거야
내 상상속에서 oh

I met a girl inside
I fell in love inside
I wanna be her lover
I wanna love forever
cyber lover
you cyber lover
cyber lover
cyber lover"
조규만,다 줄거야 Acoustic Ver,"그대 내게 다가오는 그 모습
자꾸 다시 볼수 없을 것만 같아서
감은 두눈 뜨지 못한거야
너를 내게 보내준 걸 감사할뿐야
고마울 뿐야
많이 외로웠던거니 그동안
야워가는 너를 보며 느낄 수 있어
너무 힘이 들땐 실컷 울어
눈물속에 아픈기억 떠나보내게
내품에서
서글픈 우리의 지난 날들을
서로가 조금씩 감싸줘야해
난 네게 너무나도 부족하겠지만
다 줄꺼야 내 남은 모든 사랑을
많이 지쳐있던거야 그동안
자꾸 야워가는
너를 보며 느낄 수 있어
너무 힘이 들땐 실컷 울어
눈물속에 아픈기억 떠나보내게
내품에서
서글픈 우리의 지난 날들을
서로가 조금씩 감싸줘야 해
난 네게 너무나도 부족하지만
다 줄꺼야 내 남은 모든 사랑을
난 네게 너무나도 부족하지만
다 줄거야 내 남은 모든 사랑을"
이수영,I Believe,"그대 그 약속을 기억하고 있을까요

I believe I believe I believe

많이 변했을 내 모습을 알아볼까요

and I believe I believe I believe

니가 전학간 날 너의 빈 책상위에

새겨져 있던 그 말을 난 기억해요

오늘이 바로 그대 약속한 그 날인걸요

오지 못할 거란 걸 알고있어

앞으로도 영원히 볼 수 없다는 것을

이젠 이 세상에 너란 사람은 없는거니

내가 잘못 안 것이길 빌고 있어

우리 약속한 이 곳에서

처음부터 운명이란 걸 난 느꼈어요

I believe I believe I believe

친근한 말 한 마디조차 한 적 없지만

and I believe I believe I believe

슬픈 그대 얼굴 이유를 알았을 때

애써 담담한 표정만 짓고 있었죠

연락하기로 해 웃으며 말하던 너는 어디있니

오지 못할 거란 걸 알고있어

앞으로도 영원히 볼 수 없다는 것을

이젠 이 세상에 너란 사람은 없는거니

내가 잘못 안 것이길 빌고있어

우리 약속한 이 곳에서"
윤상,Back To The Real Life,"화면속의 거짓 눈물에
그토록 너는 가슴아팠고
녀석들의 가짜 사랑도
너에겐 이미 현실이었지
뭐하고 있니
어두운 방에 혼자서
널 기다리는 사람들은
거기 없는데
돌아와
너의 거리로
따뜻한 피가 흐르는
세상속으로
한동안 여기 비워둔
너의 자리로
화면속의 거짓 슬픔에
그토록 너는 무뎌져갔고
녀석들의 가짜 정의 도
너에겐 이미 법률이었지
뭐하고 있니
어두운 방에 혼자서
널 기다리는 사람들은
거기 없는데
눈을 떠
한동안 너는
달콤한 꿈에
빠져 있었을뿐이야
대답도 없이
되풀이 되는 꿈속에
아픔없는 상처는 없지
책임져야 할
필요없는 사랑따위
모두 거짓말
모두 새빨간 거짓말
눈을 떠
한동안 너는
달콤한 꿈에
빠져 있었을뿐이야
끝나지 않는 꿈이란
없는 거니까"
소찬휘,Tears,"아무 일도 내겐 없는 거야
처음부터 우린 모른 거야
워 넌 그렇게
날 보내 줄 수는 없겠니
이제라도 나를 잊어야해
그런 모습 쉽진 않겠지만
아직 날 기다리는
너를 알아 마음이 아파
차라리 나를 미워해
이제 그만 내게 미련 보이지마
두번 다시 넌 나를 찾지마
나로 인해 아파할 테니까
잔인한 여자라 나를 욕하지마
잠시 너를 위해 이별을 택한거야
잊지는마 내 사랑을
너는 내 안에 있어
길진 않을 거야
슬픔이 가기까지 영원히
차라리 나를 미워해
이제 그만 내게 미련 보이지마
두번 다시 넌 나를 찾지마
나로 인해 아파할 테니까
가져가 내게서 눈먼 너의 사랑을
모든 게 집착인걸
너도 알고 있잖아
지독했던 사랑 따윈 모두 지워버려줘
길진 않을 거야
마지막 순간까지 사랑해"
조성모,상처傷處,"오 니가 없이는 완전해질수 없었던
삶의 의미를 나 이제서야 알겠어
슬픈운명을 다 바꿀수는 없겠지
상처뿐이던 너와의 그 기억들도
가까이 이별이 온걸 알고 있었어
너와 함께 해도 자꾸
어긋나던 시선을 느꼈을 때
나 하지만 아무런 준비 할 수 없었어
너의 눈빛속에 사라지는
나를 바라만 볼뿐
난 단지 너와의 헤어짐 뒤에 올
차가운 눈물이 될 기억들 중에
더이상 추억 만들지 않으려 애를 쓸뿐
잔인하게 좀 더 냉정하게
내게 돌아서서 떠나줘
너의 뒷모습에 그나마
내 아픈 상처가 더 깊지 않도록
알고있어 니가 떠난 뒤에
내가 어떻게 변해갈지
울컥 솟아나는 눈물이
내 남은 삶들을 채워가는 걸
너의 사랑을 돌이킬 수가 없다면
아픈 가슴도 조금씩 죽어가겠지
나와는 그토록 힘에 겨운 사랑이
어찌 그 사람관 그렇게도
쉬웠었는지 모르겠어
나 하지만 아무런 원망하지 않겠어
그저 한순간의 어설펐던
인연이었을테니
그래도 너와의 헤어짐 앞에선
담담한 나를 보여주고 싶었어
니 기억에서 날 조금 더 빨리 지워지게
잔인하게 좀 더 냉정하게
내게 돌아서서 떠나줘
너의 뒷모습에 그나마
내 아픈 상처가 더 깊지 않도록
알고있어 니가 떠난 뒤에
내가 어떻게 변해갈지
울컥 솟아나는 눈물이
내 남은 삶들을 채워가는 걸
잔인하게 좀 더 냉정하게
나를 떠나는 널 보여줘
어떤 사랑에도 다시는
다치지 않도록 차갑게 떠나줘
알고있어 내게 다른 사랑
절대 생길 수가 없단걸
다만 이런 나를 감추려
또다른 사랑을 찾을 나라는걸"
진주,가니,"친구들이 말했어 니가 떠난다거든
웃으면서 보내줘야 한다고
이미 돌아선 너를 붙잡는다고 해도
이별을 힘들게 할뿐이라고
웃으며 넌 떠났어 우린 약속했기에
서로를 절대 붙잡지 말자고
그래서 떠나는 널 난 바라보면서도
눈물조차 흘릴수가 없었어
가니 정말 날 떠나니
가니 다신 안올거니
가니 이젠 못보는거니
그럼 기다릴 필요없는거니
친구들이 말했어 쉽지 않을거라고
웃으면서 너를 보낸다는게
하지만 난 이렇게 미소짓고 있는걸
조금도 슬프지 않은것처럼
가니 정말 날 떠나니
가니 다신 안올거니
가니 이젠 못보는거니
그럼 기다릴 필요없는거니
난 니가 왜 날 떠나는지
꼭 그래야 했는지
널 붙잡고 실컷 울고싶지만
어색한 미소 난 지을뿐
가니 정말 날 떠나니
가니 다신 안올거니
가니 이젠 못보는거니
그럼 기다릴 필요없는거니
가니 정말 날 떠나니
가니 다신 안올거니
가니 이젠 못보는거니"
김현철,그대니까요 Duet With 차은주,"홀로 텅 빈 방을 볼 때면
문득 그대 없음을 느끼죠
그대가 버린 이 도시속을 살아가요
어떤 좋은 것 볼 때마다
또한 그대있음이 그립죠
그대없이는 난 아무것도 아닌걸요
이젠 헤어지지 말아요
우린 헤어지면 안돼요
어쩌면 죽는날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요
너무 파란 하늘일때마다
많이 그대 생각을 하죠
나는 알아요 우린 헤어질 수 없다는걸
이젠 헤어지지 말아요
우린 헤어지면 안돼요
어쩌면 죽는날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요
잊어서도 안돼요
우리 사랑한것을 언제까지나

어쩌면 죽는 날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요
우리 헤어지지 말아요
우린 헤어지면 안돼요
어쩌면 죽는 날까지 어쩌면 그보다 더
미칠것만큼 사랑할 사람
그대니까요"
시인과 촌장,가시나무,"내속엔 내가 너무도 많아
당신에 쉴곳 없네
내속엔 헛된 바람들로
당신에 편할곳 없네
내속엔 내가 어쩔수 없는 어둠
당신에 쉴자리를 뺏고
내속엔 내가 이길수 없는 슬픔
무성한 가시나무숲 같네
바람만 불면 그 메마른 가지
서로 부대끼며 울어대고
쉴곳을 찾아 지쳐날아온
어린 새들도
가시에 찔려 날아가고
바람만 불면 외롭고 또 괴로워
슬픈노래를
부르던 날이 많았는대
내속엔 내가 너무도 많아서
당신에 쉴곳 없네"
